date tile lat lon B3 B4 B11 FSCOG
20171206 31TGK 44.893 5.5588 0.0 0.0 0.0 0.0
20180113 31TGK 44.893 5.5588 0.0 0.0 0.0 0.0
20180722 31TGK 44.893 5.5588 0.0 0.0 0.0 0.0
20171024 35WNS 68.8333 28.2833 0.0 0.0 0.0 0.0
20180127 32TPT 47.4862 10.3851 0.0 0.0 0.0 0.0
20171201 32VPL 59.2833 11.1 0.0 0.0 0.0 0.0
20180708 32UPU 48.0949 11.405 0.0 0.0 0.0 0.0
20171003 30TYN 42.4779 0.2638 0.0 0.0 0.0 0.0
20180302 30TYN 42.4779 0.2638 0.0 0.0 0.0 0.0
20171108 32TQS 46.8865 11.7051 0.0 0.0 0.0 0.0
20171115 32TPS 46.8865 11.7051 0.0 0.0 0.0 0.0
20171008 32VMP 61.8833 7.8833 0.0 0.0 0.0 0.0
20180714 32UNV 48.8031 9.4699 0.0 0.0 0.0 0.0
20171219 35SNB 37.8667 27.25 0.0 0.0 0.0 0.0
20171118 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20171203 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20171205 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20171220 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20171225 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20180112 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20180124 32TPS 46.5649 11.0557 0.0 0.0 0.0 0.0
20171021 31UCR 50.3087 1.3737 0.0 0.0 0.0 0.0
20171231 33TYJ 43.7167 18.2667 0.0 0.0 0.0 0.0
20170903 33WVM 64.4333 13.7167 0.0 0.0 0.0 0.0
20170915 33WVM 64.4333 13.7167 0.0 0.0 0.0 0.0
20171213 32TMS 46.5 8.3 0.0 0.0 0.0 0.0
20171103 32UQC 51.75 13.1667 0.0 0.0 0.0 0.0
20180216 32UNV 48.8795 9.971 0.0 0.0 0.0 0.0
20180228 32UQV 48.8777 11.8903 0.0 0.0 0.0 0.0
20180525 32TLS 46.0245 6.923 0.0 0.0 0.0 0.0
20180112 32TMM 41.5508 8.4756 0.0 0.0 0.0 0.0
20180211 32TMM 41.5508 8.4756 0.0 0.0 0.0 0.0
20180221 32TMM 41.5508 8.4756 0.0 0.0 0.0 0.0
20180226 32TMM 41.5508 8.4756 0.0 0.0 0.0 0.0
20170914 35VMG 60.3667 26.95 0.0 0.0 0.0 0.0
20170924 35VMG 60.3667 26.95 0.0 0.0 0.0 0.0
20171020 35VMG 60.3667 26.95 0.0 0.0 0.0 0.0
20171101 35VMG 60.3667 26.95 0.0 0.0 0.0 0.0
20171115 32VKM 60.3667 5.3333 0.0 0.0 0.0 0.0
20171217 34SFF 36.1333 22.9833 0.0 0.0 0.0 0.0
20171121 32TLR 45.5397 6.7538 0.0 0.0 0.0 0.0
20171206 32TLR 45.5397 6.7538 0.0 0.0 0.0 0.0
20180130 32TLR 45.5397 6.7538 0.0 0.0 0.0 0.0
20170930 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171005 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171015 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171025 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171124 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171204 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171219 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20171229 33TWH 43.0333 16.0833 0.0 0.0 0.0 0.0
20180209 31TGK 44.5892 6.8393 0.0 0.0 0.0 0.0
20171116 32TLR 45.5577 6.5265 0.0 0.0 0.0 0.0
20171121 32TLR 45.5577 6.5265 0.0 0.0 0.0 0.0
20171206 32TLR 45.5577 6.5265 0.0 0.0 0.0 0.0
20180130 32TLR 45.5577 6.5265 0.0 0.0 0.0 0.0
20180214 32TLR 45.5577 6.5265 0.0 0.0 0.0 0.0
20171107 35WNM 64.2167 27.75 0.0 0.0 0.0 0.0
20171218 32UPE 53.6333 11.3833 0.0 0.0 0.0 0.0
20170908 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20171109 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20171124 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20171207 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20171219 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20171229 33TWJ 44.1167 15.2 0.0 0.0 0.0 0.0
20170924 32WPV 66.75 12.4833 0.0 0.0 0.0 0.0
20171103 32UQA 49.65 12.1833 0.0 0.0 0.0 0.0
20171025 33TWE 40.0833 16.0 0.0 0.0 0.0 0.0
20171121 32TLS 45.9707 6.4698 0.0 0.0 0.0 0.0
20180209 32TLS 45.9707 6.4698 0.0 0.0 0.0 0.0
20171116 31TGK 44.9413 6.1863 0.0 0.0 0.0 0.0
20171121 31TGK 44.9413 6.1863 0.0 0.0 0.0 0.0
20171126 31TGK 44.9413 6.1863 0.0 0.0 0.0 0.0
20171206 31TGK 44.9413 6.1863 0.0 0.0 0.0 0.0
20171210 34TEL 40.9667 21.05 0.0 0.0 0.0 0.0
20171114 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
20171206 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
20171224 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
20180113 31TGL 45.5569 6.0564 0.0 0.0 0.0 0.0
